cik,subset,ticker,label,Fiscal Period,Cost of Goods Sold,"Depreciation, Depletion and Amortization",EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
1034669,train,FSCI,False,Dec 2008,68.0,24.0,-6.0,17.0,66.0,122.0,142.0,-9.0,134.0,134.0,331.0,103.0,26.0,0.0,176.0,72.0,40.0
1034669,train,FSCI,False,Dec 2009,68.0,24.0,-6.0,17.0,66.0,122.0,142.0,-9.0,134.0,134.0,331.0,103.0,26.0,0.0,176.0,72.0,40.0
1034669,train,FSCI,False,Dec 2010,71.0,26.0,25.0,52.0,105.0,101.0,192.0,10.0,143.0,176.0,321.0,100.0,28.0,0.0,156.0,80.0,32.0
1034669,train,FSCI,False,Dec 2011,70.0,20.0,63.0,83.0,94.0,101.0,255.0,36.0,180.0,164.0,345.0,221.0,110.0,0.0,143.0,31.0,33.0
1022469,train,DEL,False,Dec 2012,94.7,10.6,18.1,28.8,46.2,63.0,894.9,9.2,168.6,140.9,353.2,18.6,13.0,4.9,121.0,29.1,5.3
1022469,train,DEL,False,Dec 2013,130.8,15.1,43.4,58.5,69.0,90.0,861.4,26.2,189.7,199.7,411.3,27.3,21.8,12.4,145.1,33.3,7.3
1022469,train,DEL,False,Dec 2014,156.1,18.3,34.7,53.0,71.2,202.9,860.6,19.7,204.3,227.4,527.1,29.2,16.2,11.5,259.5,36.8,9.1
1022469,train,DEL,False,Dec 2015,144.5,21.1,11.3,32.4,49.4,183.8,729.0,2.7,202.0,193.9,539.2,30.7,58.5,11.9,285.2,38.3,7.0
1022469,train,DEL,False,Dec 2016,150.3,23.4,21.9,45.3,69.0,240.8,939.3,9.2,206.3,219.4,554.7,30.0,19.8,12.2,303.5,47.4,8.7
945394,train,SVC,False,Dec 2016,1203.0,357.0,381.0,738.0,845.0,2973.0,5214.0,223.0,-1732.0,2047.0,6634.0,137.0,443.0,0.0,3505.0,456.0,65.0
945394,train,SVC,False,Dec 2017,1275.0,387.0,393.0,779.0,897.0,3603.0,4906.0,215.0,-1868.0,2172.0,7150.0,176.0,666.0,0.0,4395.0,517.0,79.0
945394,train,SVC,False,Dec 2018,1387.0,403.0,382.0,785.0,907.0,3996.0,3927.0,186.0,-1949.0,2295.0,7177.0,311.0,451.0,0.0,4580.0,513.0,91.0
945394,train,SVC,False,Dec 2019,1411.0,428.0,487.0,916.0,905.0,5686.0,4004.0,260.0,-2043.0,2316.0,9034.0,237.0,733.0,0.0,6528.0,491.0,69.0
945394,train,SVC,False,Dec 2020,683.0,499.0,7.0,506.0,582.0,6130.0,1894.0,-311.0,-2448.0,1265.0,8687.0,161.0,454.0,0.0,6585.0,565.0,56.0
721683,train,TSS,False,Dec 2014,1669.0,248.0,434.0,682.0,778.0,1398.0,6281.0,323.0,1966.0,2447.0,3734.0,691.0,297.0,14.0,2034.0,346.0,283.0
721683,train,TSS,False,Dec 2015,1855.0,258.0,534.0,793.0,924.0,1374.0,9102.0,364.0,2256.0,2780.0,3878.0,858.0,339.0,15.0,2029.0,390.0,366.0
721683,train,TSS,False,Dec 2016,2993.0,374.0,576.0,950.0,1177.0,3312.0,8995.0,320.0,2502.0,4170.0,6366.0,1023.0,420.0,17.0,4266.0,604.0,433.0
721683,train,TSS,False,Dec 2017,3577.0,406.0,736.0,1142.0,1351.0,2592.0,14308.0,586.0,3004.0,4928.0,6332.0,1079.0,989.0,17.0,4091.0,617.0,476.0
721683,train,TSS,False,Dec 2018,2492.0,409.0,823.0,1232.0,1536.0,3843.0,14381.0,577.0,3479.0,4028.0,7469.0,1141.0,516.0,18.0,4883.0,713.0,527.0
1289308,train,ENS,False,Mar 2017,1715.0,54.0,235.0,289.0,652.0,588.0,3430.0,160.0,1231.0,2367.0,2293.0,1419.0,467.0,361.0,1185.0,370.0,491.0
1289308,train,ENS,False,Mar 2018,1923.0,54.0,263.0,318.0,658.0,580.0,2908.0,120.0,1321.0,2582.0,2487.0,1540.0,492.0,414.0,1286.0,382.0,550.0
1289308,train,ENS,False,Mar 2019,2115.0,63.0,213.0,276.0,693.0,972.0,2777.0,160.0,1450.0,2808.0,3118.0,1537.0,613.0,504.0,1832.0,441.0,674.0
